Account,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
?Product Sales,400000,440000,484000,532400,585640,644204,708624,779487,857435,943179,1037497,1141247,1255372,1380909,1519000,1670900,1837990,2021789,2223968,2446365,2691001,2960101,3256111
?Service Income,80000,88000,96800,106480,117128,128841,141725,155897,171487,188636,207500,228250,251075,276183,303801,334181,367600,404360,444796,489275,538203,592023,651225
?Other Operating Revenue,24200,26620,29282,32210,35431,38974,42872,47159,51875,57063,62769,69045,75950,83545,91900,101090,111199,122319,134551,148006,162807,179087,196996
Total Revenue,550000,605000,665500,732050,805255,885781,974359,1071795,1178974,1296872,1426559,1569215,1726136,1898750,2088625,2297488,2527237,2779960,3057956,3363752,3700127,4070139,4477153
?Raw Materials,200000,220000,242000,266200,292820,322102,354312,389743,428718,471590,518749,570624,627686,690454,759500,835450,918995,1010894,1111984,1223182,1345500,1480050,1628055
?Direct Labor,80000,88000,96800,106480,117128,128841,141725,155897,171487,188636,207500,228250,251075,276183,303801,334181,367600,404360,444796,489275,538203,592023,651225
?Manufacturing Overhead,24200,26620,29282,32210,35431,38974,42872,47159,51875,57063,62769,69045,75950,83545,91900,101090,111199,122319,134551,148006,162807,179087,196996
Total COGS,300000,330000,363000,399300,439230,483153,531468,584615,643077,707384,778123,855935,941529,1035682,1139250,1253175,1378493,1516342,1667976,1834774,2018251,2220076,2442084
Gross Profit,200000,220000,242000,266200,292820,322102,354312,389743,428718,471590,518749,570624,627686,690454,759500,835450,918995,1010894,1111984,1223182,1345500,1480050,1628055
?Sales & Marketing,55000,60500,66550,73205,80526,88578,97436,107180,117897,129687,142656,156922,172614,189875,208863,229749,252724,277996,305796,336375,370013,407014,447715
?R&D Expenses,30000,33000,36300,39930,43923,48315,53147,58462,64308,70739,77813,85594,94153,103568,113925,125318,137849,151634,166798,183477,201825,222008,244208
?General & Admin,40000,44000,48400,53240,58564,64420,70862,77949,85744,94318,103750,114125,125538,138092,151901,167091,183800,202180,222398,244638,269102,296012,325613
Total Operating Expenses,145200,159720,175692,193261,212587,233846,257231,282954,311249,342374,376611,414272,455699,501269,551396,606535,667189,733908,807299,888029,976832,1074515,1181967
Operating Income,88000,96800,106480,117128,128841,141725,155897,171487,188636,207500,228250,251075,276183,303801,334181,367600,404360,444796,489275,538203,592023,651225,716348
?Interest Income,5500,6050,6655,7321,8053,8858,9744,10718,11790,12969,14266,15692,17261,18987,20886,22975,25273,27799,30579,33637,37001,40701,44772
?Interest Expense,-11000,-12100,-13310,-14641,-16105,-17716,-19488,-21437,-23581,-25939,-28533,-31386,-34525,-37977,-41775,-45953,-50548,-55603,-61163,-67279,-74007,-81408,-89549
?Gain/Loss on Assets,2420,2662,2928,3221,3543,3897,4287,4716,5188,5707,6277,6905,7596,8355,9191,10110,11121,12233,13456,14802,16282,17910,19691
Total Non-Operating,-3300,-3630,-3993,-4392,-4831,-5315,-5847,-6432,-7075,-7783,-8560,-9417,-10359,-11394,-12534,-13787,-15166,-16683,-18351,-20186,-22204,-24425,-26867
Net Income Before Tax,84700,93170,102487,112736,124010,136410,150051,165056,181562,199718,219690,241659,265824,292407,321648,353813,389194,428113,470924,518017,569819,626801,689481
?Tax Expense (25%),-21175,-23293,-25622,-28184,-31003,-34103,-37513,-41264,-45391,-49930,-54923,-60415,-66456,-73102,-80412,-88453,-97299,-107028,-117731,-129504,-142455,-156700,-172370
Net Income,57750,63525,69878,76865,84552,93007,102308,112538,123792,136171,149788,164767,181244,199368,219305,241236,265360,291895,321085,353193,388513,427364,470101
?Cash & Equivalents,66000,72600,79860,87846,96631,106294,116923,128615,141477,155624,171187,188306,207137,227850,250635,275699,303269,333596,366955,403651,444016,488418,537260
?Accounts Receivable,55000,60500,66550,73205,80526,88578,97436,107180,117897,129687,142656,156922,172614,189875,208863,229749,252724,277996,305796,336375,370013,407014,447715
?Inventory,30000,33000,36300,39930,43923,48315,53147,58462,64308,70739,77813,85594,94153,103568,113925,125318,137849,151634,166798,183477,201825,222008,244208
?Prepaid Expenses,11000,12100,13310,14641,16105,17716,19488,21437,23581,25939,28533,31386,34525,37977,41775,45953,50548,55603,61163,67279,74007,81408,89549
Total Current Assets,165000,181500,199650,219615,241577,265734,292308,321538,353692,389061,427967,470764,517840,569624,626586,689245,758169,834986,918485,1010333,1111367,1222503,1344754
"?Property, Plant & Equip.",242000,266200,292820,322102,354312,389743,428718,471590,518749,570624,627686,690454,759500,835450,918995,1010894,1111984,1223182,1345500,1480050,1628055,1790861,1969947
?Intangible Assets,110000,121000,133100,146410,161051,177156,194872,214359,235795,259374,285312,313843,345227,379750,417725,459497,505447,555992,611591,672750,740025,814028,895431
?Long-Term Investments,60500,66550,73205,80526,88578,97436,107180,117897,129687,142656,156922,172614,189875,208863,229749,252724,277996,305796,336375,370013,407014,447715,492487
Total Non-Current Assets,423500,465850,512435,563679,620047,682051,750256,825282,907810,998591,1098450,1207895,1328685,1461553,1607709,1768480,1945328,2139861,2353847,2589232,2848155,3132971,3446268
Total Assets,500000,550000,605000,665500,732050,805255,885781,974359,1071795,1178974,1296872,1426559,1569215,1726136,1898750,2088625,2297488,2527237,2779960,3057956,3363752,3700127,4070139
?Accounts Payable,44000,48400,53240,58564,64420,70862,77949,85744,94318,103750,114125,125538,138092,151901,167091,183800,202180,222398,244638,269102,296012,325613,358174
?Short-Term Debt,33000,36300,39930,43923,48315,53147,58462,64308,70739,77813,85594,94153,103568,113925,125318,137849,151634,166798,183477,201825,222008,244208,268629
?Accrued Expenses,33000,36300,39930,43923,48315,53147,58462,64308,70739,77813,85594,94153,103568,113925,125318,137849,151634,166798,183477,201825,222008,244208,268629
Total Current Liabilities,121000,133100,146410,161051,177156,194872,214359,235795,259374,285312,313843,345227,379750,417725,459497,505447,555992,611591,672750,740025,814028,895431,984974
?Long-Term Debt,100000,110000,121000,133100,146410,161051,177156,194872,214359,235795,259374,285312,313843,345227,379750,417725,459497,505447,555992,611591,672750,740025,814028
?Deferred Tax Liabilities,60500,66550,73205,80526,88578,97436,107180,117897,129687,142656,156922,172614,189875,208863,229749,252724,277996,305796,336375,370013,407014,447715,492487
Total Non-Current Liab,181500,199650,219615,241577,265734,292308,321538,353692,389061,427967,470764,517840,569624,626586,689245,758169,834986,918485,1010333,1111367,1222503,1344754,1479229
Total Liabilities,275000,302500,332750,366025,402628,442890,487179,535897,589487,648436,713279,784607,863068,949375,1044311,1148742,1263616,1389978,1529076,1682083,1850192,2035211,2239185
?Common Stock,100000,110000,121000,133100,146410,161051,177156,194872,214359,235795,259374,285312,313843,345227,379750,417725,459497,505447,555992,611591,672750,740025,814028
?Retained Earnings,154000,169400,186340,204974,225472,248019,272821,300103,330113,363125,399438,439382,483320,531652,584817,643299,707629,778392,856231,941854,1036039,1139643,1253607
?Additional Paid-In Capital,12100,13310,14641,16105,17716,19488,21437,23581,25939,28533,31386,34525,37977,41775,45953,50548,55603,61163,67279,74007,81408,89549,98504
Total Equity,250000,275000,302500,332750,366025,402628,442890,487179,535897,589487,648436,713279,784607,863068,949375,1044311,1148742,1263616,1389978,1529076,1682083,1850192,2035211
Total Liab. & Equity,550000,605000,665500,732050,805255,885781,974359,1071795,1178974,1296872,1426559,1569215,1726136,1898750,2088625,2297488,2527237,2779960,3057956,3363752,3700127,4070139,4477153
